antecedents,consequents,support,confidence,lift
"PAPER CRAFT , LITTLE BIRDIE",ALARM CLOCK BAKELIKE GREEN,0.1,0.2,0.5
ALARM CLOCK BAKELIKE GREEN,"PAPER CRAFT , LITTLE BIRDIE",0.1,0.25,0.5
RED  HARMONICA IN BOX,MINI PAINT SET VINTAGE,0.1,1.0,10.0
MINI PAINT SET VINTAGE,RED  HARMONICA IN BOX,0.1,1.0,10.0
DOLLY GIRL LUNCH BOX,ASSORTED COLOUR BIRD ORNAMENT,0.1,0.5,5.0
ASSORTED COLOUR BIRD ORNAMENT,DOLLY GIRL LUNCH BOX,0.1,1.0,5.0
VICTORIAN GLASS HANGING T-LIGHT,ALARM CLOCK BAKELIKE GREEN,0.1,1.0,2.5
ALARM CLOCK BAKELIKE GREEN,VICTORIAN GLASS HANGING T-LIGHT,0.1,0.25,2.5
WORLD WAR 2 GLIDERS ASSTD DESIGNS,VICTORIAN GLASS HANGING T-LIGHT,0.1,1.0,10.0
VICTORIAN GLASS HANGING T-LIGHT,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.1,1.0,10.0
WORLD WAR 2 GLIDERS ASSTD DESIGNS,ASSORTED COLOUR BIRD ORNAMENT,0.1,1.0,10.0
ASSORTED COLOUR BIRD ORNAMENT,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.1,1.0,10.0
"PAPER CRAFT , LITTLE BIRDIE",WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.1,0.2,2.0
WORLD WAR 2 GLIDERS ASSTD DESIGNS,"PAPER CRAFT , LITTLE BIRDIE",0.1,1.0,2.0
DOLLY GIRL LUNCH BOX,ALARM CLOCK BAKELIKE GREEN,0.1,0.5,1.25
ALARM CLOCK BAKELIKE GREEN,DOLLY GIRL LUNCH BOX,0.1,0.25,1.25
"PAPER CRAFT , LITTLE BIRDIE",MINI PAINT SET VINTAGE,0.1,0.2,2.0
